state,month,count
Andaman & Nicobar Islands,2025-01-03,209
Andaman & Nicobar Islands,2025-01-04,184
Andaman & Nicobar Islands,2025-01-05,180
Andaman & Nicobar Islands,2025-01-06,140
Andaman & Nicobar Islands,2025-01-07,259
Andaman & Nicobar Islands,2025-01-09,23
Andaman & Nicobar Islands,2025-02-09,29
Andaman & Nicobar Islands,2025-03-09,36
Andaman & Nicobar Islands,2025-04-09,20
Andaman & Nicobar Islands,2025-05-09,22
Andaman & Nicobar Islands,2025-06-09,1
Andaman & Nicobar Islands,2025-08-09,29
Andaman & Nicobar Islands,2025-09-09,33
Andaman & Nicobar Islands,2025-10-09,37
Andaman & Nicobar Islands,2025-11-09,25
Andaman & Nicobar Islands,2025-12-09,34
Andaman and Nicobar Islands,2025-01-03,2494
Andaman and Nicobar Islands,2025-01-04,2560
Andaman and Nicobar Islands,2025-01-05,1715
Andaman and Nicobar Islands,2025-01-06,1804
Andaman and Nicobar Islands,2025-01-07,2569
Andaman and Nicobar Islands,2025-01-09,152
Andaman and Nicobar Islands,2025-02-09,155
Andaman and Nicobar Islands,2025-03-09,138
Andaman and Nicobar Islands,2025-04-09,115
Andaman and Nicobar Islands,2025-05-09,89
Andaman and Nicobar Islands,2025-06-09,7
Andaman and Nicobar Islands,2025-08-09,153
Andaman and Nicobar Islands,2025-09-09,199
Andaman and Nicobar Islands,2025-10-09,212
Andaman and Nicobar Islands,2025-11-09,141
Andaman and Nicobar Islands,2025-12-09,143
Andhra Pradesh,2025-01-03,403296
Andhra Pradesh,2025-01-04,608589
Andhra Pradesh,2025-01-05,500660
Andhra Pradesh,2025-01-06,508472
Andhra Pradesh,2025-01-07,334226
Andhra Pradesh,2025-01-09,11079
Andhra Pradesh,2025-02-09,14076
Andhra Pradesh,2025-03-09,17844
Andhra Pradesh,2025-04-09,11621
Andhra Pradesh,2025-05-09,3660
Andhra Pradesh,2025-06-09,13090
Andhra Pradesh,2025-07-09,494
Andhra Pradesh,2025-08-09,12174
Andhra Pradesh,2025-09-09,13497
Andhra Pradesh,2025-10-09,18064
Andhra Pradesh,2025-11-09,12712
Andhra Pradesh,2025-12-09,13099
Arunachal Pradesh,2025-01-03,7400
Arunachal Pradesh,2025-01-04,8375
Arunachal Pradesh,2025-01-05,8305
Arunachal Pradesh,2025-01-06,7138
Arunachal Pradesh,2025-01-07,8442
Arunachal Pradesh,2025-01-09,241
Arunachal Pradesh,2025-02-09,377
Arunachal Pradesh,2025-03-09,627
Arunachal Pradesh,2025-04-09,583
Arunachal Pradesh,2025-05-09,421
Arunachal Pradesh,2025-06-09,162
Arunachal Pradesh,2025-07-09,88
Arunachal Pradesh,2025-08-09,446
Arunachal Pradesh,2025-09-09,486
Arunachal Pradesh,2025-10-09,634
Arunachal Pradesh,2025-11-09,400
Arunachal Pradesh,2025-12-09,391
Assam,2025-01-03,92931
Assam,2025-01-04,139659
Assam,2025-01-05,83841
Assam,2025-01-06,71576
Assam,2025-01-07,95172
Assam,2025-01-09,4476
Assam,2025-02-09,4941
Assam,2025-03-09,4826
Assam,2025-04-09,6806
Assam,2025-05-09,4609
Assam,2025-06-09,5699
Assam,2025-07-09,841
Assam,2025-08-09,5536
Assam,2025-09-09,7123
Assam,2025-10-09,9031
Assam,2025-11-09,6448
Assam,2025-12-09,4494
Bihar,2025-01-03,763509
Bihar,2025-01-04,795719
Bihar,2025-01-05,552199
Bihar,2025-01-06,494457
Bihar,2025-01-07,604061
Bihar,2025-01-09,24590
Bihar,2025-02-09,16042
Bihar,2025-03-09,21673
Bihar,2025-04-09,22146
Bihar,2025-05-09,5586
Bihar,2025-06-09,19454
Bihar,2025-07-09,1661
Bihar,2025-08-09,19911
Bihar,2025-09-09,25357
Bihar,2025-10-09,31832
Bihar,2025-11-09,21886
Bihar,2025-12-09,23784
Chandigarh,2025-01-03,6430
Chandigarh,2025-01-04,7921
Chandigarh,2025-01-05,6566
Chandigarh,2025-01-06,5230
Chandigarh,2025-01-07,32547
Chandigarh,2025-01-09,290
Chandigarh,2025-02-09,180
Chandigarh,2025-03-09,157
Chandigarh,2025-04-09,273
Chandigarh,2025-05-09,232
Chandigarh,2025-06-09,148
Chandigarh,2025-07-09,61
Chandigarh,2025-08-09,130
Chandigarh,2025-09-09,270
Chandigarh,2025-10-09,308
Chandigarh,2025-11-09,279
Chandigarh,2025-12-09,230
Chhattisgarh,2025-01-03,171392
Chhattisgarh,2025-01-04,287729
Chhattisgarh,2025-01-05,266716
Chhattisgarh,2025-01-06,359914
Chhattisgarh,2025-01-07,346567
Chhattisgarh,2025-01-09,12543
Chhattisgarh,2025-02-09,7663
Chhattisgarh,2025-03-09,9720
Chhattisgarh,2025-04-09,10871
Chhattisgarh,2025-05-09,3138
Chhattisgarh,2025-06-09,7998
Chhattisgarh,2025-07-09,1689
Chhattisgarh,2025-08-09,12449
Chhattisgarh,2025-09-09,13908
Chhattisgarh,2025-10-09,15355
Chhattisgarh,2025-11-09,12268
Chhattisgarh,2025-12-09,13412
Dadra & Nagar Haveli,2025-01-03,139
Dadra & Nagar Haveli,2025-01-05,115
Dadra & Nagar Haveli,2025-01-09,10
Dadra & Nagar Haveli,2025-02-09,6
Dadra & Nagar Haveli,2025-03-09,6
Dadra & Nagar Haveli,2025-04-09,3
Dadra & Nagar Haveli,2025-05-09,1
Dadra & Nagar Haveli,2025-08-09,5
Dadra & Nagar Haveli,2025-09-09,5
Dadra & Nagar Haveli,2025-10-09,3
Dadra & Nagar Haveli,2025-11-09,6
Dadra & Nagar Haveli,2025-12-09,10
Dadra and Nagar Haveli,2025-01-03,3200
Dadra and Nagar Haveli,2025-01-04,3282
Dadra and Nagar Haveli,2025-01-05,3589
Dadra and Nagar Haveli,2025-01-06,3091
Dadra and Nagar Haveli,2025-01-07,3234
Dadra and Nagar Haveli,2025-01-09,198
Dadra and Nagar Haveli,2025-02-09,207
Dadra and Nagar Haveli,2025-03-09,216
Dadra and Nagar Haveli,2025-04-09,171
Dadra and Nagar Haveli,2025-05-09,53
Dadra and Nagar Haveli,2025-06-09,91
Dadra and Nagar Haveli,2025-07-09,11
Dadra and Nagar Haveli,2025-08-09,256
Dadra and Nagar Haveli,2025-09-09,349
Dadra and Nagar Haveli,2025-10-09,295
Dadra and Nagar Haveli,2025-11-09,395
Dadra and Nagar Haveli,2025-12-09,480
Dadra and Nagar Haveli and Daman and Diu,2025-01-03,459
Dadra and Nagar Haveli and Daman and Diu,2025-01-04,429
Dadra and Nagar Haveli and Daman and Diu,2025-01-05,440
Dadra and Nagar Haveli and Daman and Diu,2025-01-06,306
Dadra and Nagar Haveli and Daman and Diu,2025-01-07,410
Dadra and Nagar Haveli and Daman and Diu,2025-01-09,10
Dadra and Nagar Haveli and Daman and Diu,2025-02-09,5
Dadra and Nagar Haveli and Daman and Diu,2025-03-09,11
Dadra and Nagar Haveli and Daman and Diu,2025-04-09,8
Dadra and Nagar Haveli and Daman and Diu,2025-05-09,6
Dadra and Nagar Haveli and Daman and Diu,2025-06-09,3
Dadra and Nagar Haveli and Daman and Diu,2025-07-09,4
Dadra and Nagar Haveli and Daman and Diu,2025-08-09,8
Dadra and Nagar Haveli and Daman and Diu,2025-09-09,9
Dadra and Nagar Haveli and Daman and Diu,2025-10-09,4
Dadra and Nagar Haveli and Daman and Diu,2025-11-09,9
Dadra and Nagar Haveli and Daman and Diu,2025-12-09,10
Daman & Diu,2025-01-03,367
Daman & Diu,2025-01-04,192
Daman & Diu,2025-01-05,302
Daman & Diu,2025-01-06,136
Daman & Diu,2025-01-07,345
Daman & Diu,2025-01-09,15
Daman & Diu,2025-02-09,6
Daman & Diu,2025-03-09,12
Daman & Diu,2025-04-09,12
Daman & Diu,2025-05-09,1
Daman & Diu,2025-06-09,1
Daman & Diu,2025-08-09,11
Daman & Diu,2025-09-09,4
Daman & Diu,2025-10-09,11
Daman & Diu,2025-11-09,14
Daman & Diu,2025-12-09,11
Daman and Diu,2025-01-03,922
Daman and Diu,2025-01-04,970
Daman and Diu,2025-01-05,802
Daman and Diu,2025-01-06,585
Daman and Diu,2025-01-07,836
Daman and Diu,2025-01-09,35
Daman and Diu,2025-02-09,24
Daman and Diu,2025-03-09,25
Daman and Diu,2025-04-09,27
Daman and Diu,2025-05-09,6
Daman and Diu,2025-06-09,27
Daman and Diu,2025-07-09,3
Daman and Diu,2025-08-09,30
Daman and Diu,2025-09-09,26
Daman and Diu,2025-10-09,40
Daman and Diu,2025-11-09,46
Daman and Diu,2025-12-09,68
Delhi,2025-01-03,164368
Delhi,2025-01-04,273966
Delhi,2025-01-05,187658
Delhi,2025-01-06,136102
Delhi,2025-01-07,172708
Delhi,2025-01-09,6250
Delhi,2025-02-09,3848
Delhi,2025-03-09,4681
Delhi,2025-04-09,6468
Delhi,2025-05-09,1455
Delhi,2025-06-09,6813
Delhi,2025-07-09,1362
Delhi,2025-08-09,6076
Delhi,2025-09-09,6165
Delhi,2025-10-09,6327
Delhi,2025-11-09,6378
Delhi,2025-12-09,6372
Goa,2025-01-03,8983
Goa,2025-01-04,9312
Goa,2025-01-05,8728
Goa,2025-01-06,7353
Goa,2025-01-07,7400
Goa,2025-01-09,534
Goa,2025-02-09,203
Goa,2025-03-09,236
Goa,2025-04-09,339
Goa,2025-05-09,230
Goa,2025-06-09,193
Goa,2025-07-09,10
Goa,2025-08-09,281
Goa,2025-09-09,340
Goa,2025-10-09,317
Goa,2025-11-09,284
Goa,2025-12-09,260
Gujarat,2025-01-03,396391
Gujarat,2025-01-04,374310
Gujarat,2025-01-05,452907
Gujarat,2025-01-06,437361
Gujarat,2025-01-07,541874
Gujarat,2025-01-09,18978
Gujarat,2025-02-09,13740
Gujarat,2025-03-09,15285
Gujarat,2025-04-09,13652
Gujarat,2025-05-09,804
Gujarat,2025-06-09,9917
Gujarat,2025-07-09,566
Gujarat,2025-08-09,16011
Gujarat,2025-09-09,17324
Gujarat,2025-10-09,18015
Gujarat,2025-11-09,18376
Gujarat,2025-12-09,18323
Haryana,2025-01-03,191374
Haryana,2025-01-04,216642
Haryana,2025-01-05,170812
Haryana,2025-01-06,165272
Haryana,2025-01-07,267325
Haryana,2025-01-09,8236
Haryana,2025-02-09,7004
Haryana,2025-03-09,7463
Haryana,2025-04-09,7116
Haryana,2025-05-09,7850
Haryana,2025-06-09,5016
Haryana,2025-07-09,352
Haryana,2025-08-09,9706
Haryana,2025-09-09,9667
Haryana,2025-10-09,7486
Haryana,2025-11-09,8965
Haryana,2025-12-09,8909
Himachal Pradesh,2025-01-03,55452
Himachal Pradesh,2025-01-04,52041
Himachal Pradesh,2025-01-05,32054
Himachal Pradesh,2025-01-06,38939
Himachal Pradesh,2025-01-07,48414
Himachal Pradesh,2025-01-09,1225
Himachal Pradesh,2025-02-09,1046
Himachal Pradesh,2025-03-09,902
Himachal Pradesh,2025-04-09,1278
Himachal Pradesh,2025-05-09,1445
Himachal Pradesh,2025-06-09,1172
Himachal Pradesh,2025-07-09,61
Himachal Pradesh,2025-08-09,1558
Himachal Pradesh,2025-09-09,1670
Himachal Pradesh,2025-10-09,1435
Himachal Pradesh,2025-11-09,1900
Himachal Pradesh,2025-12-09,2116
Jammu & Kashmir,2025-01-09,2
Jammu & Kashmir,2025-02-09,3
Jammu & Kashmir,2025-03-09,5
Jammu & Kashmir,2025-04-09,7
Jammu & Kashmir,2025-05-09,2
Jammu & Kashmir,2025-06-09,6
Jammu & Kashmir,2025-08-09,4
Jammu & Kashmir,2025-09-09,11
Jammu & Kashmir,2025-10-09,2
Jammu & Kashmir,2025-11-09,6
Jammu & Kashmir,2025-12-09,5
Jammu and Kashmir,2025-01-03,98299
Jammu and Kashmir,2025-01-04,89932
Jammu and Kashmir,2025-01-05,77298
Jammu and Kashmir,2025-01-06,79215
Jammu and Kashmir,2025-01-07,102251
Jammu and Kashmir,2025-01-09,3449
Jammu and Kashmir,2025-02-09,2801
Jammu and Kashmir,2025-03-09,1387
Jammu and Kashmir,2025-04-09,2670
Jammu and Kashmir,2025-05-09,1660
Jammu and Kashmir,2025-06-09,1711
Jammu and Kashmir,2025-07-09,169
Jammu and Kashmir,2025-08-09,2704
Jammu and Kashmir,2025-09-09,3551
Jammu and Kashmir,2025-10-09,2585
Jammu and Kashmir,2025-11-09,2825
Jammu and Kashmir,2025-12-09,815
Jharkhand,2025-01-03,330286
Jharkhand,2025-01-04,378962
Jharkhand,2025-01-05,232396
Jharkhand,2025-01-06,198929
Jharkhand,2025-01-07,256798
Jharkhand,2025-01-09,12403
Jharkhand,2025-02-09,12488
Jharkhand,2025-03-09,2482
Jharkhand,2025-04-09,4240
Jharkhand,2025-05-09,1356
Jharkhand,2025-06-09,6584
Jharkhand,2025-07-09,1131
Jharkhand,2025-08-09,11413
Jharkhand,2025-09-09,12587
Jharkhand,2025-10-09,9130
Jharkhand,2025-11-09,11169
Jharkhand,2025-12-09,11523
Karnataka,2025-01-03,312129
Karnataka,2025-01-04,300403
Karnataka,2025-01-05,354026
Karnataka,2025-01-06,337504
Karnataka,2025-01-07,374362
Karnataka,2025-01-09,12728
Karnataka,2025-02-09,15474
Karnataka,2025-03-09,11953
Karnataka,2025-04-09,12962
Karnataka,2025-05-09,3174
Karnataka,2025-06-09,7833
Karnataka,2025-07-09,2638
Karnataka,2025-08-09,14165
Karnataka,2025-09-09,12849
Karnataka,2025-10-09,9367
Karnataka,2025-11-09,12220
Karnataka,2025-12-09,11492
Kerala,2025-01-03,172725
Kerala,2025-01-04,180318
Kerala,2025-01-05,247491
Kerala,2025-01-06,223183
Kerala,2025-01-07,231320
Kerala,2025-01-09,9956
Kerala,2025-02-09,10770
Kerala,2025-03-09,7733
Kerala,2025-04-09,1786
Kerala,2025-05-09,32
Kerala,2025-06-09,798
Kerala,2025-07-09,72
Kerala,2025-08-09,9673
Kerala,2025-09-09,9048
Kerala,2025-10-09,6976
Kerala,2025-11-09,8061
Kerala,2025-12-09,8047
Ladakh,2025-01-03,956
Ladakh,2025-01-04,1003
Ladakh,2025-01-05,552
Ladakh,2025-01-06,339
Ladakh,2025-01-07,652
Ladakh,2025-01-09,26
Ladakh,2025-02-09,4
Ladakh,2025-03-09,3
Ladakh,2025-04-09,19
Ladakh,2025-05-09,3
Ladakh,2025-06-09,12
Ladakh,2025-07-09,4
Ladakh,2025-08-09,14
Ladakh,2025-09-09,12
Ladakh,2025-10-09,18
Ladakh,2025-11-09,5
Ladakh,2025-12-09,23
Lakshadweep,2025-01-03,425
Lakshadweep,2025-01-04,706
Lakshadweep,2025-01-05,701
Lakshadweep,2025-01-06,574
Lakshadweep,2025-01-07,608
Lakshadweep,2025-01-09,15
Lakshadweep,2025-02-09,14
Lakshadweep,2025-03-09,11
Lakshadweep,2025-04-09,6
Lakshadweep,2025-06-09,13
Lakshadweep,2025-07-09,8
Lakshadweep,2025-08-09,39
Lakshadweep,2025-09-09,19
Lakshadweep,2025-10-09,32
Lakshadweep,2025-11-09,14
Lakshadweep,2025-12-09,11
Madhya Pradesh,2025-01-03,663358
Madhya Pradesh,2025-01-04,834670
Madhya Pradesh,2025-01-05,779064
Madhya Pradesh,2025-01-06,891131
Madhya Pradesh,2025-01-07,1004035
Madhya Pradesh,2025-01-09,33590
Madhya Pradesh,2025-02-09,26670
Madhya Pradesh,2025-03-09,24044
Madhya Pradesh,2025-04-09,29386
Madhya Pradesh,2025-05-09,1976
Madhya Pradesh,2025-06-09,15306
Madhya Pradesh,2025-07-09,598
Madhya Pradesh,2025-08-09,40576
Madhya Pradesh,2025-09-09,32745
Madhya Pradesh,2025-10-09,20066
Madhya Pradesh,2025-11-09,30870
