state,month,count
Andaman & Nicobar Islands,2025-01-09,6
Andaman & Nicobar Islands,2025-01-11,8
Andaman & Nicobar Islands,2025-01-12,6
Andaman & Nicobar Islands,2025-02-09,13
Andaman & Nicobar Islands,2025-02-11,2
Andaman & Nicobar Islands,2025-03-09,13
Andaman & Nicobar Islands,2025-03-11,17
Andaman & Nicobar Islands,2025-03-12,4
Andaman & Nicobar Islands,2025-04-11,9
Andaman & Nicobar Islands,2025-04-12,10
Andaman & Nicobar Islands,2025-05-09,9
Andaman & Nicobar Islands,2025-05-11,4
Andaman & Nicobar Islands,2025-06-09,4
Andaman & Nicobar Islands,2025-06-11,1
Andaman & Nicobar Islands,2025-07-11,3
Andaman & Nicobar Islands,2025-07-12,2
Andaman & Nicobar Islands,2025-08-09,1
Andaman & Nicobar Islands,2025-08-11,1
Andaman & Nicobar Islands,2025-08-12,6
Andaman & Nicobar Islands,2025-09-09,6
Andaman & Nicobar Islands,2025-09-12,3
Andaman & Nicobar Islands,2025-10-11,4
Andaman & Nicobar Islands,2025-11-09,3
Andaman & Nicobar Islands,2025-11-11,1
Andaman & Nicobar Islands,2025-11-12,2
Andaman & Nicobar Islands,2025-12-09,9
Andaman & Nicobar Islands,2025-12-12,4
Andaman and Nicobar Islands,2025-01-03,211
Andaman and Nicobar Islands,2025-01-07,219
Andaman and Nicobar Islands,2025-01-09,32
Andaman and Nicobar Islands,2025-01-11,10
Andaman and Nicobar Islands,2025-01-12,6
Andaman and Nicobar Islands,2025-02-09,19
Andaman and Nicobar Islands,2025-02-11,10
Andaman and Nicobar Islands,2025-03-09,39
Andaman and Nicobar Islands,2025-03-11,33
Andaman and Nicobar Islands,2025-03-12,36
Andaman and Nicobar Islands,2025-04-09,32
Andaman and Nicobar Islands,2025-04-11,15
Andaman and Nicobar Islands,2025-04-12,8
Andaman and Nicobar Islands,2025-05-09,24
Andaman and Nicobar Islands,2025-05-11,24
Andaman and Nicobar Islands,2025-06-09,6
Andaman and Nicobar Islands,2025-06-11,10
Andaman and Nicobar Islands,2025-07-09,4
Andaman and Nicobar Islands,2025-07-11,22
Andaman and Nicobar Islands,2025-07-12,2
Andaman and Nicobar Islands,2025-08-09,19
Andaman and Nicobar Islands,2025-08-11,11
Andaman and Nicobar Islands,2025-08-12,24
Andaman and Nicobar Islands,2025-09-11,12
Andaman and Nicobar Islands,2025-09-12,14
Andaman and Nicobar Islands,2025-10-09,8
Andaman and Nicobar Islands,2025-10-11,10
Andaman and Nicobar Islands,2025-11-09,31
Andaman and Nicobar Islands,2025-11-11,4
Andaman and Nicobar Islands,2025-11-12,60
Andaman and Nicobar Islands,2025-12-09,26
Andaman and Nicobar Islands,2025-12-12,38
Andhra Pradesh,2025-01-03,175264
Andhra Pradesh,2025-01-04,20604
Andhra Pradesh,2025-01-05,61031
Andhra Pradesh,2025-01-06,46035
Andhra Pradesh,2025-01-07,28339
Andhra Pradesh,2025-01-09,7050
Andhra Pradesh,2025-01-11,9218
Andhra Pradesh,2025-01-12,4013
Andhra Pradesh,2025-02-09,6930
Andhra Pradesh,2025-02-11,1737
Andhra Pradesh,2025-02-12,1178
Andhra Pradesh,2025-03-09,8754
Andhra Pradesh,2025-03-11,1174
Andhra Pradesh,2025-03-12,6090
Andhra Pradesh,2025-04-09,4009
Andhra Pradesh,2025-04-11,4914
Andhra Pradesh,2025-04-12,7748
Andhra Pradesh,2025-05-09,3092
Andhra Pradesh,2025-05-11,7216
Andhra Pradesh,2025-06-09,6313
Andhra Pradesh,2025-06-11,3986
Andhra Pradesh,2025-07-09,559
Andhra Pradesh,2025-07-11,2549
Andhra Pradesh,2025-07-12,5134
Andhra Pradesh,2025-08-09,3461
Andhra Pradesh,2025-08-11,3638
Andhra Pradesh,2025-08-12,7574
Andhra Pradesh,2025-09-09,6704
Andhra Pradesh,2025-09-11,2786
Andhra Pradesh,2025-09-12,3064
Andhra Pradesh,2025-10-09,5470
Andhra Pradesh,2025-10-11,5320
Andhra Pradesh,2025-10-12,1591
Andhra Pradesh,2025-11-09,5517
Andhra Pradesh,2025-11-11,2097
Andhra Pradesh,2025-11-12,3867
Andhra Pradesh,2025-12-09,4838
Andhra Pradesh,2025-12-12,6950
Arunachal Pradesh,2025-01-03,2008
Arunachal Pradesh,2025-01-09,311
Arunachal Pradesh,2025-01-11,30
Arunachal Pradesh,2025-01-12,19
Arunachal Pradesh,2025-02-09,146
Arunachal Pradesh,2025-02-11,6
Arunachal Pradesh,2025-02-12,96
Arunachal Pradesh,2025-03-09,474
Arunachal Pradesh,2025-03-11,47
Arunachal Pradesh,2025-04-09,303
Arunachal Pradesh,2025-04-11,145
Arunachal Pradesh,2025-04-12,66
Arunachal Pradesh,2025-05-09,363
Arunachal Pradesh,2025-05-11,60
Arunachal Pradesh,2025-06-09,135
Arunachal Pradesh,2025-06-11,123
Arunachal Pradesh,2025-07-09,62
Arunachal Pradesh,2025-08-09,100
Arunachal Pradesh,2025-08-11,43
Arunachal Pradesh,2025-08-12,84
Arunachal Pradesh,2025-09-09,402
Arunachal Pradesh,2025-09-11,10
Arunachal Pradesh,2025-09-12,79
Arunachal Pradesh,2025-10-09,256
Arunachal Pradesh,2025-10-11,118
Arunachal Pradesh,2025-10-12,59
Arunachal Pradesh,2025-11-09,174
Arunachal Pradesh,2025-11-11,46
Arunachal Pradesh,2025-12-09,218
Arunachal Pradesh,2025-12-12,88
Assam,2025-01-03,72993
Assam,2025-01-04,1685
Assam,2025-01-06,1346
Assam,2025-01-07,14757
Assam,2025-01-09,7095
Assam,2025-01-11,2632
Assam,2025-01-12,1852
Assam,2025-02-09,4314
Assam,2025-02-11,591
Assam,2025-02-12,2236
Assam,2025-03-09,4546
Assam,2025-03-11,1976
