state,month,count
100000,2025-02-09,3
100000,2025-03-09,1
100000,2025-08-09,1
100000,2025-09-09,1
100000,2025-11-09,2
100000,2025-12-09,2
Andaman & Nicobar Islands,2025-01-09,5
Andaman & Nicobar Islands,2025-02-09,1
Andaman & Nicobar Islands,2025-03-09,1
Andaman & Nicobar Islands,2025-04-09,5
Andaman & Nicobar Islands,2025-05-09,2
Andaman & Nicobar Islands,2025-08-09,1
Andaman & Nicobar Islands,2025-09-09,2
Andaman & Nicobar Islands,2025-11-09,3
Andaman & Nicobar Islands,2025-12-09,2
Andaman and Nicobar Islands,2025-01-09,22
Andaman and Nicobar Islands,2025-02-09,9
Andaman and Nicobar Islands,2025-03-09,11
Andaman and Nicobar Islands,2025-04-09,12
Andaman and Nicobar Islands,2025-05-09,3
Andaman and Nicobar Islands,2025-08-09,12
Andaman and Nicobar Islands,2025-09-09,11
Andaman and Nicobar Islands,2025-10-09,12
Andaman and Nicobar Islands,2025-11-09,3
Andaman and Nicobar Islands,2025-12-09,3
Andhra Pradesh,2025-01-06,1574
Andhra Pradesh,2025-01-07,956
Andhra Pradesh,2025-01-09,2254
Andhra Pradesh,2025-02-09,2275
Andhra Pradesh,2025-03-09,2166
Andhra Pradesh,2025-04-09,1862
Andhra Pradesh,2025-05-09,778
Andhra Pradesh,2025-06-09,1987
Andhra Pradesh,2025-07-09,171
Andhra Pradesh,2025-08-09,2461
Andhra Pradesh,2025-09-09,2289
Andhra Pradesh,2025-10-09,2038
Andhra Pradesh,2025-11-09,1798
Andhra Pradesh,2025-12-09,2031
Arunachal Pradesh,2025-01-07,484
Arunachal Pradesh,2025-01-09,118
Arunachal Pradesh,2025-02-09,122
Arunachal Pradesh,2025-03-09,94
Arunachal Pradesh,2025-04-09,109
Arunachal Pradesh,2025-05-09,69
Arunachal Pradesh,2025-06-09,58
Arunachal Pradesh,2025-07-09,58
Arunachal Pradesh,2025-08-09,108
Arunachal Pradesh,2025-09-09,117
Arunachal Pradesh,2025-10-09,73
Arunachal Pradesh,2025-11-09,77
Arunachal Pradesh,2025-12-09,65
Assam,2025-01-04,25654
Assam,2025-01-05,13197
Assam,2025-01-06,9734
Assam,2025-01-07,47873
Assam,2025-01-09,3629
Assam,2025-02-09,3619
Assam,2025-03-09,2654
Assam,2025-04-09,2879
Assam,2025-05-09,2342
Assam,2025-06-09,2737
Assam,2025-07-09,650
Assam,2025-08-09,3453
Assam,2025-09-09,3039
Assam,2025-10-09,2931
Assam,2025-11-09,2421
Assam,2025-12-09,1875
Bihar,2025-01-04,29442
Bihar,2025-01-05,31651
Bihar,2025-01-06,46386
Bihar,2025-01-07,59274
Bihar,2025-01-09,7948
Bihar,2025-02-09,8425
Bihar,2025-03-09,7538
Bihar,2025-04-09,6117
Bihar,2025-05-09,2474
Bihar,2025-06-09,6923
Bihar,2025-07-09,1541
Bihar,2025-08-09,7869
Bihar,2025-09-03,1005
Bihar,2025-09-09,8259
Bihar,2025-10-09,7705
Bihar,2025-11-09,6685
Bihar,2025-12-09,7306
Chandigarh,2025-01-04,117
Chandigarh,2025-01-09,19
Chandigarh,2025-02-09,20
Chandigarh,2025-03-09,15
Chandigarh,2025-04-09,34
Chandigarh,2025-05-09,39
Chandigarh,2025-06-09,35
Chandigarh,2025-07-09,16
Chandigarh,2025-08-09,45
Chandigarh,2025-09-09,46
Chandigarh,2025-10-09,48
Chandigarh,2025-11-09,47
Chandigarh,2025-12-09,36
Chhattisgarh,2025-01-04,1745
Chhattisgarh,2025-01-05,1406
Chhattisgarh,2025-01-06,1263
Chhattisgarh,2025-01-07,7587
Chhattisgarh,2025-01-09,1378
Chhattisgarh,2025-02-09,1432
Chhattisgarh,2025-03-09,1271
Chhattisgarh,2025-04-09,989
Chhattisgarh,2025-05-09,467
Chhattisgarh,2025-06-09,1139
Chhattisgarh,2025-07-09,173
Chhattisgarh,2025-08-09,1801
Chhattisgarh,2025-09-09,1953
Chhattisgarh,2025-10-09,1576
Chhattisgarh,2025-11-09,1293
Chhattisgarh,2025-12-09,1712
Dadra & Nagar Haveli,2025-01-09,1
Dadra & Nagar Haveli,2025-02-09,1
Dadra & Nagar Haveli,2025-03-09,1
Dadra & Nagar Haveli,2025-05-09,1
Dadra & Nagar Haveli,2025-06-09,1
Dadra & Nagar Haveli,2025-08-09,1
Dadra & Nagar Haveli,2025-09-09,1
Dadra & Nagar Haveli,2025-10-09,1
Dadra and Nagar Haveli,2025-01-09,16
Dadra and Nagar Haveli,2025-02-09,16
Dadra and Nagar Haveli,2025-03-09,21
Dadra and Nagar Haveli,2025-04-09,7
Dadra and Nagar Haveli,2025-05-09,2
Dadra and Nagar Haveli,2025-06-09,2
Dadra and Nagar Haveli,2025-08-09,19
Dadra and Nagar Haveli,2025-09-09,25
Dadra and Nagar Haveli,2025-10-09,17
Dadra and Nagar Haveli,2025-11-09,30
Dadra and Nagar Haveli,2025-12-09,19
Dadra and Nagar Haveli and Daman and Diu,2025-01-09,1
Dadra and Nagar Haveli and Daman and Diu,2025-02-09,1
Dadra and Nagar Haveli and Daman and Diu,2025-03-09,4
Dadra and Nagar Haveli and Daman and Diu,2025-04-09,3
Dadra and Nagar Haveli and Daman and Diu,2025-05-09,1
Dadra and Nagar Haveli and Daman and Diu,2025-06-09,1
Dadra and Nagar Haveli and Daman and Diu,2025-08-09,3
Dadra and Nagar Haveli and Daman and Diu,2025-09-09,7
Dadra and Nagar Haveli and Daman and Diu,2025-10-09,4
Dadra and Nagar Haveli and Daman and Diu,2025-11-09,7
Dadra and Nagar Haveli and Daman and Diu,2025-12-09,5
Daman & Diu,2025-02-09,1
Daman & Diu,2025-04-09,1
Daman & Diu,2025-12-09,2
Daman and Diu,2025-01-09,3
Daman and Diu,2025-02-09,1
Daman and Diu,2025-03-09,1
Daman and Diu,2025-08-09,1
Daman and Diu,2025-09-09,4
Daman and Diu,2025-11-09,2
Daman and Diu,2025-12-09,2
Delhi,2025-01-04,5930
Delhi,2025-01-05,5581
Delhi,2025-01-06,8161
Delhi,2025-01-07,18784
Delhi,2025-01-09,892
Delhi,2025-02-09,859
Delhi,2025-03-09,779
Delhi,2025-04-09,922
Delhi,2025-05-09,239
Delhi,2025-06-09,1056
Delhi,2025-07-09,259
Delhi,2025-08-09,984
Delhi,2025-09-03,232
Delhi,2025-09-09,943
Delhi,2025-10-09,936
Delhi,2025-11-09,854
Delhi,2025-12-09,867
Goa,2025-01-07,42
Goa,2025-01-09,33
Goa,2025-02-09,37
Goa,2025-03-09,35
Goa,2025-04-09,38
Goa,2025-05-09,24
Goa,2025-06-09,16
Goa,2025-07-09,2
Goa,2025-08-09,53
Goa,2025-09-09,39
Goa,2025-10-09,51
Goa,2025-11-09,38
Goa,2025-12-09,46
Gujarat,2025-01-04,27846
Gujarat,2025-01-05,14294
Gujarat,2025-01-06,12224
Gujarat,2025-01-07,60833
Gujarat,2025-01-09,3633
Gujarat,2025-02-09,3551
Gujarat,2025-03-09,3348
Gujarat,2025-04-09,2393
Gujarat,2025-05-09,173
Gujarat,2025-06-09,1652
Gujarat,2025-07-09,89
Gujarat,2025-08-09,2854
Gujarat,2025-09-09,3339
Gujarat,2025-10-09,3923
Gujarat,2025-11-09,3737
Gujarat,2025-12-09,3573
Haryana,2025-01-04,2328
Haryana,2025-01-05,3696
Haryana,2025-01-06,7641
Haryana,2025-01-07,6752
Haryana,2025-01-09,1079
Haryana,2025-02-09,885
Haryana,2025-03-09,942
Haryana,2025-04-09,802
Haryana,2025-05-09,1047
Haryana,2025-06-09,928
Haryana,2025-07-09,156
Haryana,2025-08-09,1489
Haryana,2025-09-03,200
Haryana,2025-09-09,1525
Haryana,2025-10-09,1388
Haryana,2025-11-09,1041
Haryana,2025-12-09,1222
Himachal Pradesh,2025-01-07,114
Himachal Pradesh,2025-01-09,110
Himachal Pradesh,2025-02-09,90
Himachal Pradesh,2025-03-09,121
Himachal Pradesh,2025-04-09,124
Himachal Pradesh,2025-05-09,225
Himachal Pradesh,2025-06-09,217
Himachal Pradesh,2025-07-09,20
Himachal Pradesh,2025-08-09,322
Himachal Pradesh,2025-09-09,351
Himachal Pradesh,2025-10-09,327
Himachal Pradesh,2025-11-09,229
Himachal Pradesh,2025-12-09,255
Jammu & Kashmir,2025-01-09,1
Jammu & Kashmir,2025-02-09,3
Jammu & Kashmir,2025-04-09,3
Jammu & Kashmir,2025-06-09,4
