state,month,count,role
Andaman & Nicobar Islands,2025-03-11,17,demographic
Andaman and Nicobar Islands,2025-01-07,219,demographic
Andhra Pradesh,2025-01-03,175264,demographic
Arunachal Pradesh,2025-01-03,2008,demographic
Assam,2025-01-03,72993,demographic
Bihar,2025-01-03,409929,demographic
Chandigarh,2025-01-04,6663,demographic
Chhattisgarh,2025-01-06,146870,demographic
Dadra & Nagar Haveli,2025-08-09,1,demographic
Dadra and Nagar Haveli,2025-08-12,92,demographic
Dadra and Nagar Haveli and Daman and Diu,2025-01-03,126,demographic
Daman & Diu,2025-02-09,11,demographic
Daman and Diu,2025-01-03,204,demographic
Delhi,2025-01-07,95586,demographic
Goa,2025-01-03,2462,demographic
Gujarat,2025-01-03,175199,demographic
Haryana,2025-01-03,68826,demographic
Himachal Pradesh,2025-01-03,9783,demographic
Jammu & Kashmir,2025-08-12,6,demographic
Jammu and Kashmir,2025-01-03,36115,demographic
Jharkhand,2025-01-03,203468,demographic
Karnataka,2025-01-03,142442,demographic
Kerala,2025-01-03,34596,demographic
Ladakh,2025-01-03,709,demographic
Lakshadweep,2025-08-09,16,demographic
Madhya Pradesh,2025-01-03,231673,demographic
Maharashtra,2025-01-03,262395,demographic
Manipur,2025-01-03,10390,demographic
Meghalaya,2025-01-03,12195,demographic
Mizoram,2025-01-03,4360,demographic
Nagaland,2025-01-03,3375,demographic
Odisha,2025-01-03,132212,demographic
Orissa,2025-09-11,4,demographic
Pondicherry,2025-12-09,81,demographic
Puducherry,2025-01-03,1337,demographic
Punjab,2025-01-03,50970,demographic
Rajasthan,2025-01-03,400058,demographic
Sikkim,2025-01-03,1222,demographic
Tamil Nadu,2025-01-03,175423,demographic
Telangana,2025-01-03,111072,demographic
Tripura,2025-01-03,13825,demographic
Uttar Pradesh,2025-01-03,735972,demographic
Uttarakhand,2025-01-03,31973,demographic
West  Bengal,2025-02-09,3,demographic
West Bangal,2025-08-11,8,demographic
West Bengal,2025-01-03,205205,demographic
Westbengal,2025-07-12,4,demographic
andhra pradesh,2025-05-09,2,demographic
