state,month,count,role
100000,2025-02-09,3,enrolment
Andaman & Nicobar Islands,2025-11-09,3,enrolment
Andaman and Nicobar Islands,2025-01-09,22,enrolment
Andhra Pradesh,2025-07-09,171,enrolment
Arunachal Pradesh,2025-01-07,484,enrolment
Assam,2025-01-07,47873,enrolment
Bihar,2025-01-07,59274,enrolment
Chandigarh,2025-01-04,117,enrolment
Chhattisgarh,2025-01-07,7587,enrolment
Dadra and Nagar Haveli,2025-11-09,30,enrolment
Daman and Diu,2025-09-09,4,enrolment
Delhi,2025-01-07,18784,enrolment
Goa,2025-07-09,2,enrolment
Gujarat,2025-01-07,60833,enrolment
Haryana,2025-01-06,7641,enrolment
Himachal Pradesh,2025-07-09,20,enrolment
Jammu & Kashmir,2025-06-09,4,enrolment
Jammu and Kashmir,2025-07-09,33,enrolment
Jharkhand,2025-01-07,11233,enrolment
Karnataka,2025-01-07,15263,enrolment
Kerala,2025-09-09,1315,enrolment
Ladakh,2025-10-09,24,enrolment
Lakshadweep,2025-11-09,7,enrolment
Madhya Pradesh,2025-01-07,63188,enrolment
Maharashtra,2025-01-07,54767,enrolment
Manipur,2025-01-07,1626,enrolment
Meghalaya,2025-01-04,30512,enrolment
Mizoram,2025-01-07,875,enrolment
Nagaland,2025-01-07,4169,enrolment
Odisha,2025-07-09,108,enrolment
Orissa,2025-07-09,4,enrolment
Pondicherry,2025-07-09,1,enrolment
Puducherry,2025-01-09,56,enrolment
Punjab,2025-01-07,8511,enrolment
Rajasthan,2025-01-07,28786,enrolment
Sikkim,2025-01-07,431,enrolment
Tamil Nadu,2025-01-07,972,enrolment
Telangana,2025-01-07,8581,enrolment
Tripura,2025-01-07,665,enrolment
Uttar Pradesh,2025-01-07,157866,enrolment
Uttarakhand,2025-01-07,2363,enrolment
West Bengal,2025-01-07,28544,enrolment
