state,mae,rmse,trained_on,tested_on
Andaman & Nicobar Islands,4.68,4.68,3,1
Andaman and Nicobar Islands,25.669999999999987,25.669999999999987,3,1
Andhra Pradesh,828.9200000000001,828.9200000000001,4,1
Arunachal Pradesh,90.32,90.32,4,1
Assam,2291.17,2291.17,4,1
Bihar,1910.0900000000001,1910.0900000000001,4,1
Chandigarh,11.810000000000002,11.810000000000002,4,1
Chhattisgarh,367.64999999999964,367.64999999999964,4,1
Dadra and Nagar Haveli,130.2,130.2,4,1
Dadra and Nagar Haveli and Daman and Diu,2.9400000000000004,2.9400000000000004,4,1
Daman & Diu,0.9900000000000002,0.9900000000000002,3,1
Daman and Diu,28.520000000000003,28.520000000000003,4,1
Delhi,63.279999999999745,63.279999999999745,4,1
Goa,33.660000000000025,33.660000000000025,4,1
Gujarat,248.1899999999987,248.1899999999987,4,1
Haryana,98.79999999999927,98.79999999999927,4,1
Himachal Pradesh,443.77,443.77,4,1
Jammu and Kashmir,2119.18,2119.18,4,1
Jharkhand,704.0400000000009,704.0400000000009,4,1
Karnataka,124.38999999999942,124.38999999999942,4,1
Kerala,257.8599999999997,257.8599999999997,4,1
Ladakh,9.18,9.18,4,1
Lakshadweep,12.350000000000001,12.350000000000001,3,1
Madhya Pradesh,188.84000000000015,188.84000000000015,4,1
Maharashtra,15534.04,15534.04,4,1
Manipur,52.22000000000003,52.22000000000003,4,1
Meghalaya,151.76999999999998,151.76999999999998,4,1
Mizoram,37.28,37.28,4,1
Nagaland,58.02999999999997,58.02999999999997,4,1
Odisha,1427.4500000000007,1427.4500000000007,4,1
Orissa,69.96000000000004,69.96000000000004,4,1
Pondicherry,49.23000000000002,49.23000000000002,4,1
Puducherry,11.430000000000007,11.430000000000007,4,1
Punjab,380.40999999999985,380.40999999999985,4,1
Rajasthan,1890.0199999999968,1890.0199999999968,4,1
Sikkim,50.58000000000001,50.58000000000001,4,1
Tamil Nadu,250.47000000000116,250.47000000000116,4,1
Telangana,777.9300000000003,777.9300000000003,4,1
Tripura,30.6099999999999,30.6099999999999,4,1
Uttar Pradesh,16317.650000000001,16317.650000000001,4,1
Uttarakhand,175.64000000000033,175.64000000000033,4,1
West Bengal,835.0600000000013,835.0600000000013,4,1
