state,mae,rmse,trained_on,tested_on
Andaman & Nicobar Islands,2.2533333333333334,3.4671506072470137,12,3
Andaman and Nicobar Islands,21.982499999999998,24.61765981973104,16,4
Andhra Pradesh,1996.093333333333,2105.578065203631,20,6
Arunachal Pradesh,108.78,117.23157360540718,14,4
Assam,1313.368,1482.3535715746093,16,5
Bihar,11644.725,13211.140115497225,16,4
Chandigarh,73.19500000000001,84.74857461928195,15,4
Chhattisgarh,2588.5675,2634.719207681342,16,4
Dadra and Nagar Haveli,32.24,37.493428757583644,5,2
Dadra and Nagar Haveli and Daman and Diu,13.14,15.270494425525326,6,2
Daman and Diu,4.775,4.809495815571524,5,2
Delhi,521.0525,583.8597273104217,14,4
Goa,57.53666666666667,61.33819772376753,11,3
Gujarat,2254.3049999999994,2545.3895229119644,14,4
Haryana,897.565,955.0684819163492,14,4
Himachal Pradesh,564.4300000000001,651.9808983014763,14,4
Jammu & Kashmir,2.67,2.67,4,1
Jammu and Kashmir,418.66249999999997,501.49986443168655,14,4
Jharkhand,2063.73,2578.5098680245533,11,3
Karnataka,1184.462,1408.010210410422,16,5
Kerala,1504.4674999999997,1751.2684120445385,14,4
Ladakh,11.7675,12.037359552659378,12,4
Lakshadweep,1.58,2.0146711890529434,7,2
Madhya Pradesh,2786.1439999999993,3946.631026721398,17,5
Maharashtra,4709.469999999999,6033.720982132005,16,5
Manipur,278.3375,353.2858358680688,12,4
Meghalaya,252.52249999999998,330.5677063401687,12,4
Mizoram,48.394999999999996,52.702784082057754,15,4
Nagaland,52.6225,61.064650780955105,12,4
Odisha,1313.2675,2193.8760869463435,14,4
Orissa,48.44,60.532095205766666,12,4
Pondicherry,22.2075,28.98226397298872,12,4
Puducherry,44.365,55.998089699560296,15,4
Punjab,1231.48,1555.611359986806,16,5
Rajasthan,3618.59,4506.293293071369,18,5
Sikkim,58.8625,68.14199898007102,13,4
Tamil Nadu,3386.692,3782.4518729099514,19,5
Telangana,2332.106,2654.39633191805,18,5
Tripura,380.89,390.3787202832654,14,4
Uttar Pradesh,12051.664,15026.236483959648,19,5
Uttarakhand,425.5460000000001,551.2360098360774,18,5
West Bengal,4732.594,5739.166326258544,19,5
