state,mae,rmse,trained_on,tested_on
Assam,920.4000000000001,920.4000000000001,3,1
Bihar,1595.2600000000002,1595.2600000000002,4,1
Chhattisgarh,70.09999999999991,70.09999999999991,3,1
Delhi,89.80999999999995,89.80999999999995,4,1
Gujarat,126.13999999999987,126.13999999999987,3,1
Haryana,251.11,251.11,4,1
Jharkhand,56.23999999999978,56.23999999999978,2,1
Karnataka,425.17999999999984,425.17999999999984,4,1
Kerala,118.07999999999993,118.07999999999993,2,1
Madhya Pradesh,2008.3599999999997,2008.3599999999997,4,1
Maharashtra,1411.13,1411.13,4,1
Manipur,54.18000000000001,54.18000000000001,3,1
Meghalaya,105.63999999999999,105.63999999999999,4,1
Mizoram,29.480000000000004,29.480000000000004,3,1
Nagaland,35.760000000000005,35.760000000000005,3,1
Punjab,150.14999999999998,150.14999999999998,4,1
Rajasthan,1086.5,1086.5,4,1
Tamil Nadu,203.98999999999978,203.98999999999978,3,1
Telangana,21.5,21.5,3,1
Tripura,1.039999999999992,1.039999999999992,2,1
Uttar Pradesh,1938.7800000000007,1938.7800000000007,4,1
Uttarakhand,142.48000000000002,142.48000000000002,3,1
West Bengal,306.71000000000004,306.71000000000004,4,1
