state,pred_month_1,pred_month_2,pred_month_3,mae,rmse
Andaman & Nicobar Islands,31.24,31.32,31.0,4.68,4.68
Andaman and Nicobar Islands,183.25,181.19,177.38,25.669999999999987,25.669999999999987
Andhra Pradesh,14127.34,14249.64,14123.83,828.9200000000001,828.9200000000001
Arunachal Pradesh,454.3,457.0,458.88,90.32,90.32
Assam,6875.68,7057.33,7549.81,2291.17,2291.17
Bihar,23811.63,25823.59,27161.69,1910.0900000000001,1910.0900000000001
Chandigarh,232.34,232.34,246.73,11.810000000000002,11.810000000000002
Chhattisgarh,12982.25,13900.15,14034.24,367.64999999999964,367.64999999999964
Dadra and Nagar Haveli,359.88,354.28,354.28,130.2,130.2
Dadra and Nagar Haveli and Daman and Diu,6.44,7.65,7.28,2.9400000000000004,2.9400000000000004
Daman & Diu,9.45,11.83,10.88,0.9900000000000002,0.9900000000000002
Daman and Diu,42.1,41.36,40.98,28.520000000000003,28.520000000000003
Delhi,6332.68,6326.72,6326.72,63.279999999999745,63.279999999999745
Goa,295.77,303.19,305.74,33.660000000000025,33.660000000000025
Gujarat,17932.16,17728.44,17728.44,248.1899999999987,248.1899999999987
Haryana,8678.95,8680.66,8680.66,98.79999999999927,98.79999999999927
Himachal Pradesh,1657.06,1746.97,1746.97,443.77,443.77
Jammu and Kashmir,2981.33,3042.07,2798.09,2119.18,2119.18
Jharkhand,10941.52,10825.17,11008.68,704.0400000000009,704.0400000000009
Karnataka,11996.36,11888.32,11803.65,124.38999999999942,124.38999999999942
Kerala,8183.53,8365.46,8372.7,257.8599999999997,257.8599999999997
Ladakh,8.28,13.1,10.48,9.18,9.18
Lakshadweep,19.38,21.03,20.83,12.350000000000001,12.350000000000001
Madhya Pradesh,30178.48,27994.47,27994.47,188.84000000000015,188.84000000000015
Maharashtra,60345.51,58477.32,58736.88,15534.04,15534.04
Manipur,1695.37,1689.11,1684.51,52.22000000000003,52.22000000000003
Meghalaya,404.79,403.71,394.25,151.76999999999998,151.76999999999998
Mizoram,244.41,256.62,246.48,37.28,37.28
Nagaland,560.63,547.27,559.27,58.02999999999997,58.02999999999997
Odisha,13235.37,13417.72,13095.47,1427.4500000000007,1427.4500000000007
Orissa,511.4,511.0,506.64,69.96000000000004,69.96000000000004
Pondicherry,312.01,309.23,304.65,49.23000000000002,49.23000000000002
Puducherry,470.34,460.3,460.3,11.430000000000007,11.430000000000007
Punjab,8283.95,8187.05,8187.05,380.40999999999985,380.40999999999985
Rajasthan,51767.4,51736.3,51736.3,1890.0199999999968,1890.0199999999968
Sikkim,152.7,146.41,146.16,50.58000000000001,50.58000000000001
Tamil Nadu,20003.25,20363.09,20363.09,250.47000000000116,250.47000000000116
Telangana,11631.65,11611.56,11611.56,777.9300000000003,777.9300000000003
Tripura,1081.41,1081.6,1081.6,30.6099999999999,30.6099999999999
Uttar Pradesh,55872.8,54532.28,54532.28,16317.650000000001,16317.650000000001
Uttarakhand,4170.6,4196.51,4190.27,175.64000000000033,175.64000000000033
West Bengal,17335.19,17389.62,17363.33,835.0600000000013,835.0600000000013
