state,pred_month_1,pred_month_2,pred_month_3,mae,rmse
Andaman & Nicobar Islands,2.69,1.92,2.22,2.2533333333333334,3.4671506072470137
Andaman and Nicobar Islands,14.89,15.06,14.59,21.982499999999998,24.61765981973104
Andhra Pradesh,4901.23,3776.14,4805.76,1996.093333333333,2105.578065203631
Arunachal Pradesh,94.63,94.28,75.6,108.78,117.23157360540718
Assam,3397.13,3334.04,3365.35,1313.368,1482.3535715746093
Bihar,11307.9,14709.85,21262.76,11644.725,13211.140115497225
Chandigarh,233.41,61.74,53.46,73.19500000000001,84.74857461928195
Chhattisgarh,3163.22,3073.64,4118.15,2588.5675,2634.719207681342
Dadra and Nagar Haveli,12.54,14.48,15.66,32.24,37.493428757583644
Dadra and Nagar Haveli and Daman and Diu,12.48,12.82,19.93,13.14,15.270494425525326
Daman and Diu,6.83,5.86,9.35,4.775,4.809495815571524
Delhi,1363.0,1696.31,1681.76,521.0525,583.8597273104217
Goa,82.81,111.34,117.59,57.53666666666667,61.33819772376753
Gujarat,2514.82,4814.97,5361.88,2254.3049999999994,2545.3895229119644
Haryana,1438.84,1629.33,2020.13,897.565,955.0684819163492
Himachal Pradesh,632.48,661.92,586.41,564.4300000000001,651.9808983014763
Jammu & Kashmir,3.82,3.61,3.76,2.67,2.67
Jammu and Kashmir,1256.58,1025.34,1242.84,418.66249999999997,501.49986443168655
Jharkhand,3443.62,3081.18,3662.52,2063.73,2578.5098680245533
Karnataka,5733.9,4398.76,4323.12,1184.462,1408.010210410422
Kerala,2046.87,2523.15,1796.29,1504.4674999999997,1751.2684120445385
Ladakh,12.12,12.93,11.61,11.7675,12.037359552659378
Lakshadweep,5.47,6.3,6.98,1.58,2.0146711890529434
Madhya Pradesh,6974.85,4531.01,3870.33,2786.1439999999993,3946.631026721398
Maharashtra,10925.27,11495.12,13361.25,4709.469999999999,6033.720982132005
Manipur,791.08,754.28,829.38,278.3375,353.2858358680688
Meghalaya,363.67,196.67,304.73,252.52249999999998,330.5677063401687
Mizoram,96.92,76.8,71.62,48.394999999999996,52.702784082057754
Nagaland,102.9,95.21,121.2,52.6225,61.064650780955105
Odisha,3430.14,2288.97,2819.08,1313.2675,2193.8760869463435
Orissa,153.36,96.13,70.31,48.44,60.532095205766666
Pondicherry,21.39,33.61,27.93,22.2075,28.98226397298872
Puducherry,84.68,43.62,52.42,44.365,55.998089699560296
Punjab,1663.91,1544.76,2124.96,1231.48,1555.611359986806
Rajasthan,3633.75,4387.67,3222.84,3618.59,4506.293293071369
Sikkim,46.11,86.44,72.35,58.8625,68.14199898007102
Tamil Nadu,8437.56,4238.31,7654.71,3386.692,3782.4518729099514
Telangana,3899.68,6156.48,3120.17,2332.106,2654.39633191805
Tripura,252.12,431.62,250.39,380.89,390.3787202832654
Uttar Pradesh,19136.59,19862.08,18330.55,12051.664,15026.236483959648
Uttarakhand,1075.66,627.77,997.33,425.5460000000001,551.2360098360774
West Bengal,16396.16,7996.43,14664.79,4732.594,5739.166326258544
