state,pred_month_1,pred_month_2,pred_month_3,mae,rmse
Assam,2642.28,2717.22,2719.86,920.4000000000001,920.4000000000001
Bihar,4786.98,5643.74,4663.18,1595.2600000000002,1595.2600000000002
Chhattisgarh,1501.42,1573.08,1541.96,70.09999999999991,70.09999999999991
Delhi,793.81,777.19,793.81,89.80999999999995,89.80999999999995
Gujarat,3764.42,3740.8,3711.34,126.13999999999987,126.13999999999987
Haryana,947.95,959.01,947.95,251.11,251.11
Jharkhand,2390.84,2417.8,2417.8,56.23999999999978,56.23999999999978
Karnataka,2388.91,2801.81,2357.9,425.17999999999984,425.17999999999984
Kerala,1173.4,1177.08,1177.08,118.07999999999993,118.07999999999993
Madhya Pradesh,5835.15,6160.66,5835.15,2008.3599999999997,2008.3599999999997
Maharashtra,3863.66,4512.87,3587.9,1411.13,1411.13
Manipur,154.42,153.66,160.96,54.18000000000001,54.18000000000001
Meghalaya,442.58,456.42,454.06,105.63999999999999,105.63999999999999
Mizoram,62.96,66.82,70.26,29.480000000000004,29.480000000000004
Nagaland,88.06,88.65,87.32,35.760000000000005,35.760000000000005
Punjab,1035.23,936.39,1035.23,150.14999999999998,150.14999999999998
Rajasthan,5349.02,6020.5,4768.5,1086.5,1086.5
Tamil Nadu,3594.07,3649.1,3632.9,203.98999999999978,203.98999999999978
Telangana,2520.82,2642.38,2607.32,21.5,21.5
Tripura,173.8,171.96,173.8,1.039999999999992,1.039999999999992
Uttar Pradesh,9681.77,11935.75,9568.7,1938.7800000000007,1938.7800000000007
Uttarakhand,638.29,669.6,684.13,142.48000000000002,142.48000000000002
West Bengal,4768.33,5530.97,4706.01,306.71000000000004,306.71000000000004
