state,count
Uttar Pradesh,6220156
Maharashtra,5506059
Madhya Pradesh,4458339
Bihar,3443867
Tamil Nadu,2913612
Rajasthan,2596324
Andhra Pradesh,2496653
Gujarat,2363834
Karnataka,1805279
West Bengal,1700858
Odisha,1654188
Chhattisgarh,1553332
Jharkhand,1493877
Punjab,1247026
Kerala,1127989
Haryana,1099195
Telangana,1016510
Delhi,996997
Assam,548009
Jammu and Kashmir,473322
Uttarakhand,378722
Himachal Pradesh,242708
Tripura,213383
Manipur,162040
Mizoram,102123
Nagaland,75737
Meghalaya,64659
Chandigarh,61252
Goa,45003
Arunachal Pradesh,44516
Orissa,37657
Puducherry,25516
Dadra and Nagar Haveli,19118
Sikkim,17851
Pondicherry,15072
Andaman and Nicobar Islands,12646
Daman and Diu,4472
Ladakh,3645
Lakshadweep,3196
Dadra and Nagar Haveli and Daman and Diu,2131
Daman & Diu,1440
Andaman & Nicobar Islands,1261
Dadra & Nagar Haveli,309
Jammu & Kashmir,53
West Bangal,14
WEST BENGAL,11
andhra pradesh,10
ODISHA,7
Westbengal,6
West  Bengal,2
West bengal,2
odisha,2
WESTBENGAL,1
west Bengal,1
