state,count
Uttar Pradesh,460503
Bihar,246548
Madhya Pradesh,178495
Gujarat,147462
Maharashtra,135615
Assam,128687
Rajasthan,119033
West Bengal,117683
Meghalaya,90743
Karnataka,76432
Delhi,48278
Jharkhand,42593
Tamil Nadu,39915
Telangana,37379
Haryana,33121
Punjab,31223
Odisha,30456
Chhattisgarh,27185
Andhra Pradesh,24640
Kerala,10783
Nagaland,10250
Uttarakhand,10076
Jammu and Kashmir,6196
Manipur,4866
Tripura,3128
Mizoram,2872
Himachal Pradesh,2505
Arunachal Pradesh,1552
Sikkim,996
Jammu And Kashmir,950
Orissa,881
The Dadra And Nagar Haveli And Daman And Diu,716
Chandigarh,517
Goa,454
Puducherry,331
Pondicherry,306
Dadra and Nagar Haveli,174
Ladakh,100
Andaman and Nicobar Islands,98
Dadra and Nagar Haveli and Daman and Diu,37
Lakshadweep,29
Andaman & Nicobar Islands,22
Jammu & Kashmir,19
Daman and Diu,14
100000,10
West  Bengal,9
Dadra & Nagar Haveli,8
Daman & Diu,4
West Bangal,3
Westbengal,2
WEST BENGAL,1
West bengal,1
andhra pradesh,1
